id x y status inf_cout
257 72 949 INFECTED 1
258 726 269 SUSCEPTIBLE 0
259 908 754 SUSCEPTIBLE 0
260 754 916 SUSCEPTIBLE 0
261 471 159 SUSCEPTIBLE 0
262 709 65 INFECTED 1
263 801 904 INFECTED 1
264 590 586 INFECTED 1
265 255 20 INFECTED 1
266 224 440 SUSCEPTIBLE 0
267 533 225 SUSCEPTIBLE 0
268 143 73 SUSCEPTIBLE 0
269 228 261 SUSCEPTIBLE 0
270 45 951 SUSCEPTIBLE 0
271 397 805 SUSCEPTIBLE 0
272 130 778 SUSCEPTIBLE 0
273 566 540 SUSCEPTIBLE 0
274 535 715 SUSCEPTIBLE 0
275 695 55 INFECTED 1
276 491 688 SUSCEPTIBLE 0
277 668 411 INFECTED 1
278 723 833 SUSCEPTIBLE 0
279 311 728 SUSCEPTIBLE 0
280 507 320 SUSCEPTIBLE 0
281 77 452 SUSCEPTIBLE 0
282 478 78 INFECTED 1
283 133 542 SUSCEPTIBLE 0
284 742 264 SUSCEPTIBLE 0
285 156 776 SUSCEPTIBLE 0
286 644 937 INFECTED 1
287 209 25 SUSCEPTIBLE 0
288 561 802 SUSCEPTIBLE 0
289 875 321 SUSCEPTIBLE 0
290 399 70 SUSCEPTIBLE 0
291 719 655 SUSCEPTIBLE 0
292 582 719 INFECTED 1
293 221 568 SUSCEPTIBLE 0
294 807 299 SUSCEPTIBLE 0
295 30 621 SUSCEPTIBLE 0
296 472 126 SUSCEPTIBLE 0
297 459 580 SUSCEPTIBLE 0
298 582 15 INFECTED 1
299 614 813 SUSCEPTIBLE 0
300 558 589 SUSCEPTIBLE 0
301 158 964 SUSCEPTIBLE 0
302 116 827 SUSCEPTIBLE 0
303 579 308 SUSCEPTIBLE 0
304 512 118 SUSCEPTIBLE 0
305 698 386 SUSCEPTIBLE 0
306 403 333 SUSCEPTIBLE 0
307 65 607 SUSCEPTIBLE 0
308 679 517 INFECTED 1
309 250 936 SUSCEPTIBLE 0
310 623 859 SUSCEPTIBLE 0
311 77 680 SUSCEPTIBLE 0
312 798 715 SUSCEPTIBLE 0
313 174 180 INFECTED 1
314 671 539 SUSCEPTIBLE 0
315 629 62 SUSCEPTIBLE 0
316 769 393 SUSCEPTIBLE 0
317 905 928 SUSCEPTIBLE 0
318 407 120 INFECTED 1
319 399 262 INFECTED 1
320 912 856 SUSCEPTIBLE 0
321 931 450 SUSCEPTIBLE 0
322 871 973 SUSCEPTIBLE 0
323 575 804 SUSCEPTIBLE 0
324 355 235 SUSCEPTIBLE 0
325 500 588 INFECTED 1
326 727 345 INFECTED 1
327 763 415 INFECTED 1
328 326 599 INFECTED 1
329 382 57 SUSCEPTIBLE 0
330 971 72 INFECTED 1
331 877 37 SUSCEPTIBLE 0
332 700 808 INFECTED 1
333 146 725 SUSCEPTIBLE 0
334 71 861 SUSCEPTIBLE 0
335 604 860 SUSCEPTIBLE 0
336 546 885 SUSCEPTIBLE 0
337 253 489 SUSCEPTIBLE 0
338 403 173 SUSCEPTIBLE 0
339 639 890 SUSCEPTIBLE 0
340 691 797 SUSCEPTIBLE 0
341 325 466 SUSCEPTIBLE 0
342 717 775 SUSCEPTIBLE 0
343 96 634 SUSCEPTIBLE 0
344 41 255 INFECTED 1
345 653 178 SUSCEPTIBLE 0
346 71 933 INFECTED 1
347 627 330 SUSCEPTIBLE 0
348 648 208 SUSCEPTIBLE 0
349 511 693 SUSCEPTIBLE 0
350 268 391 SUSCEPTIBLE 0
351 706 551 INFECTED 1
352 42 110 SUSCEPTIBLE 0
353 576 62 SUSCEPTIBLE 0
354 726 266 INFECTED 1
355 316 143 SUSCEPTIBLE 0
356 909 70 SUSCEPTIBLE 0
357 440 620 SUSCEPTIBLE 0
358 866 849 INFECTED 1
359 468 792 INFECTED 1
360 602 42 SUSCEPTIBLE 0
361 417 750 SUSCEPTIBLE 0
362 736 209 SUSCEPTIBLE 0
363 214 327 SUSCEPTIBLE 0
364 751 798 SUSCEPTIBLE 0
365 748 844 SUSCEPTIBLE 0
366 473 837 INFECTED 1
367 424 42 INFECTED 1
368 721 881 INFECTED 1
369 632 936 SUSCEPTIBLE 0
370 654 520 SUSCEPTIBLE 0
371 198 320 SUSCEPTIBLE 0
372 275 248 INFECTED 1
373 629 920 SUSCEPTIBLE 0
374 375 993 SUSCEPTIBLE 0
375 754 623 INFECTED 1
376 865 163 INFECTED 1
377 123 244 INFECTED 1
378 111 448 INFECTED 1
379 327 399 SUSCEPTIBLE 0
380 856 916 SUSCEPTIBLE 0
381 458 683 SUSCEPTIBLE 0
382 396 879 INFECTED 1
383 787 832 SUSCEPTIBLE 0
384 746 972 INFECTED 1
385 485 897 SUSCEPTIBLE 0
386 988 13 SUSCEPTIBLE 0
387 529 523 SUSCEPTIBLE 0
388 865 482 SUSCEPTIBLE 0
389 578 224 SUSCEPTIBLE 0
390 341 537 INFECTED 1
391 971 711 SUSCEPTIBLE 0
392 195 513 SUSCEPTIBLE 0
393 904 432 SUSCEPTIBLE 0
394 39 465 INFECTED 1
395 581 405 SUSCEPTIBLE 0
396 93 104 SUSCEPTIBLE 0
397 641 9 INFECTED 1
398 568 615 INFECTED 1
399 658 336 SUSCEPTIBLE 0
400 626 76 INFECTED 1
401 776 979 INFECTED 1
402 164 976 INFECTED 1
403 820 630 INFECTED 1
404 709 260 INFECTED 1
405 966 11 SUSCEPTIBLE 0
406 626 162 SUSCEPTIBLE 0
407 661 497 INFECTED 1
