id x y status inf_cout
260 272 916 SUSCEPTIBLE 0
261 471 627 SUSCEPTIBLE 1
262 859 65 SUSCEPTIBLE 2
263 945 904 SUSCEPTIBLE 1
264 844 586 SUSCEPTIBLE 1
265 255 602 SUSCEPTIBLE 1
266 224 16 SUSCEPTIBLE 1
267 575 225 SUSCEPTIBLE 0
268 143 313 SUSCEPTIBLE 0
269 366 261 SUSCEPTIBLE 0
270 45 681 SUSCEPTIBLE 1
271 397 91 SUSCEPTIBLE 0
272 86 778 SUSCEPTIBLE 0
273 74 540 SUSCEPTIBLE 0
274 415 715 SUSCEPTIBLE 1
275 331 55 SUSCEPTIBLE 1
276 875 688 SUSCEPTIBLE 0
277 668 723 SUSCEPTIBLE 1
278 723 679 SUSCEPTIBLE 1
279 287 728 SUSCEPTIBLE 1
280 507 322 SUSCEPTIBLE 0
281 77 230 SUSCEPTIBLE 0
282 50 78 SUSCEPTIBLE 1
283 133 538 SUSCEPTIBLE 0
284 44 264 SUSCEPTIBLE 1
285 378 776 SUSCEPTIBLE 0
286 644 55 SUSCEPTIBLE 1
287 673 25 SUSCEPTIBLE 1
288 561 220 SUSCEPTIBLE 0
289 527 321 SUSCEPTIBLE 0
290 399 94 SUSCEPTIBLE 0
291 719 785 SUSCEPTIBLE 0
292 582 215 SUSCEPTIBLE 1
293 647 568 SUSCEPTIBLE 0
294 807 401 SUSCEPTIBLE 0
295 276 621 SUSCEPTIBLE 0
296 356 126 SUSCEPTIBLE 0
297 489 580 SUSCEPTIBLE 0
298 342 15 SUSCEPTIBLE 1
299 614 393 SUSCEPTIBLE 1
300 864 589 SUSCEPTIBLE 1
301 158 616 SUSCEPTIBLE 2
302 116 235 SUSCEPTIBLE 0
303 957 308 SUSCEPTIBLE 0
304 512 118 SUSCEPTIBLE 1
305 698 112 SUSCEPTIBLE 0
306 403 807 SUSCEPTIBLE 0
307 65 569 SUSCEPTIBLE 0
308 679 403 SUSCEPTIBLE 1
309 250 822 SUSCEPTIBLE 0
310 529 859 SUSCEPTIBLE 1
311 353 680 SUSCEPTIBLE 1
312 798 589 SUSCEPTIBLE 0
313 174 528 SUSCEPTIBLE 1
314 457 539 SUSCEPTIBLE 1
315 629 818 SUSCEPTIBLE 1
316 769 849 SUSCEPTIBLE 0
317 905 142 SUSCEPTIBLE 0
318 407 30 SUSCEPTIBLE 1
319 399 830 SUSCEPTIBLE 2
320 492 856 SUSCEPTIBLE 1
321 823 450 SUSCEPTIBLE 0
322 475 973 SUSCEPTIBLE 1
323 283 804 SUSCEPTIBLE 0
324 755 235 SUSCEPTIBLE 0
325 500 36 SUSCEPTIBLE 1
326 793 345 SUSCEPTIBLE 2
327 653 415 SUSCEPTIBLE 1
328 622 599 SUSCEPTIBLE 1
329 866 57 SUSCEPTIBLE 0
330 319 72 SUSCEPTIBLE 2
331 877 839 SUSCEPTIBLE 0
332 700 866 SUSCEPTIBLE 1
333 356 725 SUSCEPTIBLE 0
334 71 357 SUSCEPTIBLE 0
335 604 386 SUSCEPTIBLE 1
336 546 237 SUSCEPTIBLE 0
337 715 489 SUSCEPTIBLE 1
338 977 173 SUSCEPTIBLE 0
339 639 62 SUSCEPTIBLE 0
340 691 749 SUSCEPTIBLE 0
341 325 986 SUSCEPTIBLE 0
342 717 875 SUSCEPTIBLE 0
343 414 634 SUSCEPTIBLE 0
344 41 15 SUSCEPTIBLE 1
345 359 178 SUSCEPTIBLE 0
