id x y status inf_cout
304 154 118 SUSCEPTIBLE 0
305 698 388 SUSCEPTIBLE 0
306 403 145 SUSCEPTIBLE 0
307 65 371 SUSCEPTIBLE 0
308 679 365 INFECTED 1
309 250 118 SUSCEPTIBLE 0
310 913 859 SUSCEPTIBLE 0
311 887 680 SUSCEPTIBLE 0
312 798 785 SUSCEPTIBLE 0
313 174 688 INFECTED 1
314 833 539 SUSCEPTIBLE 0
315 629 404 SUSCEPTIBLE 0
316 769 69 SUSCEPTIBLE 0
317 905 546 SUSCEPTIBLE 0
318 407 0 INFECTED 1
319 399 528 INFECTED 1
320 314 856 SUSCEPTIBLE 0
321 545 450 SUSCEPTIBLE 0
322 989 973 SUSCEPTIBLE 0
323 97 804 SUSCEPTIBLE 0
324 873 235 SUSCEPTIBLE 0
325 500 148 INFECTED 1
326 149 345 INFECTED 1
327 873 415 SUSCEPTIBLE 0
328 272 599 INFECTED 1
329 50 57 SUSCEPTIBLE 0
330 749 72 INFECTED 1
331 877 465 SUSCEPTIBLE 0
332 700 758 INFECTED 1
333 906 725 SUSCEPTIBLE 0
334 71 189 SUSCEPTIBLE 0
335 604 228 SUSCEPTIBLE 0
336 546 687 SUSCEPTIBLE 0
337 463 489 SUSCEPTIBLE 0
338 561 173 SUSCEPTIBLE 0
339 639 214 SUSCEPTIBLE 0
340 691 599 SUSCEPTIBLE 0
341 325 528 SUSCEPTIBLE 0
342 717 573 SUSCEPTIBLE 0
343 520 634 SUSCEPTIBLE 0
344 41 771 INFECTED 1
345 261 178 SUSCEPTIBLE 0
346 71 219 INFECTED 1
347 433 330 SUSCEPTIBLE 0
348 648 906 SUSCEPTIBLE 0
349 435 693 SUSCEPTIBLE 0
350 268 871 SUSCEPTIBLE 0
351 506 551 INFECTED 1
352 42 678 SUSCEPTIBLE 0
353 576 928 SUSCEPTIBLE 0
354 148 266 INFECTED 1
355 316 3 SUSCEPTIBLE 0
356 909 28 SUSCEPTIBLE 0
357 440 468 SUSCEPTIBLE 0
358 340 849 INFECTED 1
359 120 792 INFECTED 1
360 472 42 SUSCEPTIBLE 0
361 971 750 SUSCEPTIBLE 0
362 736 211 SUSCEPTIBLE 0
363 214 723 SUSCEPTIBLE 0
364 751 396 SUSCEPTIBLE 0
365 864 844 SUSCEPTIBLE 0
366 413 837 INFECTED 1
367 350 42 INFECTED 1
368 85 881 SUSCEPTIBLE 0
369 632 724 SUSCEPTIBLE 0
370 654 474 SUSCEPTIBLE 0
371 198 878 SUSCEPTIBLE 0
372 275 340 INFECTED 1
373 903 920 SUSCEPTIBLE 0
374 759 993 SUSCEPTIBLE 0
375 754 983 INFECTED 1
376 865 679 INFECTED 1
377 123 668 INFECTED 1
378 861 448 INFECTED 1
379 327 797 SUSCEPTIBLE 0
380 856 748 SUSCEPTIBLE 0
381 670 683 SUSCEPTIBLE 0
382 396 803 INFECTED 1
383 787 348 SUSCEPTIBLE 0
384 746 482 INFECTED 1
385 869 897 SUSCEPTIBLE 0
386 346 13 SUSCEPTIBLE 0
387 529 397 SUSCEPTIBLE 0
388 865 894 SUSCEPTIBLE 0
389 578 818 SUSCEPTIBLE 0
390 341 101 SUSCEPTIBLE 0
391 449 711 SUSCEPTIBLE 0
392 195 95 SUSCEPTIBLE 0
393 992 432 SUSCEPTIBLE 0
394 445 465 INFECTED 1
395 581 447 SUSCEPTIBLE 0
396 61 104 SUSCEPTIBLE 0
397 641 107 INFECTED 1
398 926 615 INFECTED 1
399 328 336 SUSCEPTIBLE 0
400 150 76 INFECTED 1
401 508 979 INFECTED 1
402 164 654 INFECTED 1
403 820 886 INFECTED 1
404 709 616 INFECTED 1
405 442 11 SUSCEPTIBLE 0
406 626 606 SUSCEPTIBLE 0
407 661 757 INFECTED 1
408 552 380 SUSCEPTIBLE 0
409 360 595 INFECTED 1
410 968 104 SUSCEPTIBLE 0
411 709 903 SUSCEPTIBLE 0
412 520 68 SUSCEPTIBLE 0
413 79 983 INFECTED 1
414 590 518 SUSCEPTIBLE 0
415 994 733 SUSCEPTIBLE 0
416 114 456 INFECTED 1
417 770 65 SUSCEPTIBLE 0
418 887 429 SUSCEPTIBLE 0
419 333 76 INFECTED 1
420 144 946 SUSCEPTIBLE 0
421 930 309 INFECTED 1
422 827 466 SUSCEPTIBLE 0
